"code_insee_com","nom_com","RR_med","NBJRR5_med","NBJRR1_med","NBJRR10_med","Tmin_med","Tmax_med","Tens_vap_med","Force_vent_med","Insolation_med","Rayonnement_med","niveau_vie_median_2021"
46049,"Calvignac",67.3,4,9,2,12.15,25.25,11.1,2.3,3310,12085,20430
46050,"Cambayrac",55.3,4,8,2,7.9,19.35,11.6,2.2,3709,14404,21720
46051,"Cambes",81.9,5,10,3,6.6,20.3,10.6,2.3,3383.5,12351.5,21970
46052,"Camboulit",61.45,4,8,2,8.3,18.3,10.6,2.3,3383.5,12351.5,21670
46053,"Camburat",80.7,5,10,3,8.3,18.3,10.6,2.3,3383.5,12351.5,22930
46054,"Caniac-du-Causse",64.2,4,9,2,7.1,17.35,10.7,2.8,3489,12601.5,21060
46055,"Capdenac",66,5,8,2,7.5,17.7,10.7,2.3,3383.5,12351.5,23010
46057,"Cardaillac",81.9,5,10,3,8.1,19.5,10.7,2.3,3383.5,12351.5,24110
46058,"Carennac",87.2,5,11,3,11.45,25.4,11.2,3.1,3493,13687,20480
46059,"Carlucet",64.2,4,9,2,7.1,17.35,10.7,2.8,3489,12601.5,22260
46060,"Carnac-Rouffiac",55.3,4,8,2,7.9,19.35,11.6,3,3709,14404,21820
46061,"Cassagnes",69.3,5,9,2,7.9,19.35,11.6,2.9,3398,12700,19010
46062,"Castelfranc",61.5,4,7,2,7.9,19.35,11.6,2.2,3709,14404,22100
46063,"Castelnau-Montratier",56.9,4,8.5,2,14.1,25.4,10.7,2.2,3709,14404,20570
46064,"Catus",53.8,3,8,1,7.9,19.35,11.6,1.6,3102,12018,21200
46065,"Cavagnac",74.9,5,10,2,7.15,18.55,11.2,2.3,3298.5,12257.5,21830
46066,"Cazals",61.5,4,7,2,8.1,19.6,11.6,1.6,3102,12018,22230
46068,"Cénevières",71,5,9,2,12.15,25.25,11.1,2.3,3493,13687,20510
46069,"Cézac",59.55,4,8,2,7.8,18.8,10.7,2.2,3709,14404,21990
46070,"Cieurac",62.8,4,9,2,6.1,17.3,10.7,2.2,3709,14404,24450
46072,"Concorès",53.8,3,8,1,7.6,17.6,10.6,2.3,3360,12556,20960
46073,"Concots",71,5,9,2,12.15,25.25,11.1,2.3,3709,14404,18030
46074,"Condat",74.9,5,10,2,11.45,25.4,11.2,2.3,3298.5,12257.5,21100
46075,"Corn",81.9,5,10,3,6.6,20.3,10.6,2.3,3383.5,12351.5,22040
46080,"Crayssac",61.5,4,7,2,7.9,19.35,11.6,1.9,3709,14404,24420
46082,"Cremps",58.45,4,9,2,6.1,17.3,10.7,2.2,3709,14404,23040
46083,"Cressensac-Sarrazac",63.05,4,9,2,7.4,18.4,10.6,2.3,3268.5,12172,21910
46084,"Creysse",72.8,4.5,9,2,11.45,25.4,11.2,2.3,3268.5,12172,21110
46085,"Cuzac",89.55,5,10,3,8.1,19.5,10.7,2.3,3383.5,12351.5,20080
46086,"Cuzance",74.1,5,9,2,7.4,18.4,10.6,2.3,3268.5,12172,22720
46087,"Dégagnac",53.8,3,8,1,6.9,17.4,10.3,1.6,3102,12018,20290
46088,"Douelle",59.55,4,8,2,6.1,17.3,10.7,2.2,3709,14404,23230
46089,"Duravel",69.3,5,9,2,7.9,19.35,11.6,2.9,3398,12700,21250
46090,"Durbans",64.2,4,9,2,8.1,17.7,10.4,3.1,3493,13687,21850
46091,"Escamps",63.3,4,9,2,12.15,25.25,11.1,2.3,3709,14404,25800
46092,"Esclauzels",96,6,7,3,6.1,17.3,10.7,2.2,3709,14404,23370
46094,"Espédaillac",68.2,4,9,2,6.6,20.3,10.4,3.1,3493,13687,23980
46095,"Espère",77.85,5,10,2,6.1,17.3,10.7,2.2,3709,14404,22500
46098,"Fajoles",68.2,5,10,2,6.9,17.4,10.3,1.6,3102,12018,20010
46100,"Faycelles",61.45,4,8,2,8.3,18.3,10.6,2.3,3383.5,12351.5,25070
46101,"Felzins",89.55,5,10,3,8.1,19.5,10.7,2.3,3383.5,12351.5,21970
46102,"Figeac",80.7,5,10,3,7.5,17.7,10.7,2.3,3383.5,12351.5,22150
46103,"Saint-Paul-Flaugnac",60.7,4,8,2,14.1,25.4,10.7,2.2,3709,14404,20580
46105,"Flaujac-Poujols",62.8,4,9,2,6.1,17.3,10.7,2.2,3709,14404,25950
46106,"Floirac",87.2,5,11,3,11.45,25.4,11.2,2.3,3493,13687,22830
46107,"Floressas",59.7,4,7,2,7.9,19.35,11.6,3,3709,14404,22210
46108,"Fons",81.9,5,10,3,13.25,23.6,10.6,2.3,3383.5,12351.5,22270
46109,"Fontanes",62.8,4,9,2,14.1,25.4,10.7,2.2,3709,14404,22860
46111,"Fourmagnac",81.9,5,10,3,13.25,23.6,10.6,2.3,3383.5,12351.5,23350
46112,"Francoulès",77.85,5,10,2,6.1,17.3,10.7,2.2,3709,14404,21620
46113,"Frayssinet",77.85,5,10,2,7.6,17.6,10.6,2.3,3360,12556,19600
46114,"Frayssinet-le-Gélat",69.3,5,9,2,7.9,19.35,11.6,2.9,3398,12700,20420
46118,"Gignac",63.05,4,9,2,8,17.35,10.8,2.3,3268.5,12172,22670
46119,"Gigouzac",77.85,5,10,2,7.6,17.6,10.6,2.3,3360,12556,23200
46120,"Gindou",61.5,4,7,2,7.9,19.35,11.6,1.6,3102,12018,20820
46121,"Ginouillac",77.85,5,10,2,7.1,17.35,10.7,2.8,3489,12601.5,23830
46125,"Gorses",112.95,7,11,4,12.5,21.9,10.1,2.2,3349,12638,19980
46126,"Goujounac",61.5,4,7,2,7.9,19.35,11.6,1.6,3102,12018,19300
46127,"Gourdon",62.3,4,8,2,6.9,17.4,10.3,1.6,3102,12018,21420
46128,"Gramat",64.2,4,9,2,11.85,24.45,10.4,3.1,3493,13687,22330
46129,"Gréalou",66.25,5,9.5,2,6.6,20.3,10.6,2.3,3383.5,12351.5,22190
46130,"Grézels",59.7,4,7,2,7.9,19.35,11.6,3,3709,14404,23130
46131,"Grèzes",68.2,4,9,2,6.6,20.3,10.4,3.1,3493,13687,20350
46132,"Issendolus",64.2,4,9,2,11.85,24.45,10.4,3.1,3493,13687,22390
46133,"Issepts",81.9,5,10,3,13.25,23.6,10.6,2.3,3383.5,12351.5,23260
46134,"Junies",61.5,4,7,2,7.9,19.35,11.6,1.6,3102,12018,21000
46136,"Labastide-du-Vert",61.5,4,7,2,7.9,19.35,11.6,2.2,3709,14404,21720
46137,"Labastide-Marnhac",59.55,4,8,2,7.8,18.8,10.7,2.2,3709,14404,24660
46138,"Cœur de Causse",75.5,5,9,2,7.1,17.35,10.7,2.8,3489,12601.5,21830
46139,"Labathude",81.9,5,10,3,13.25,23.6,10.7,2.3,3383.5,12351.5,23040
46140,"Laburgade",62.8,4,9,2,6.1,17.3,10.7,2.2,3709,14404,23850
46142,"Lacapelle-Cabanac",69.3,5,9,2,7.9,19.35,11.6,2.9,3398,12700,22410
46143,"Lacapelle-Marival",81.9,5,10,3,13.25,23.6,10.6,2.3,3383.5,12351.5,21620
46144,"Lacave",72.8,4.5,9,2,11.85,24.45,10.6,2.3,3360,12556,21260
