code_insee_com,nom_com,RR_med,NBJRR5_med,NBJRR1_med,NBJRR10_med,Tmin_med,Tmax_med,Tens_vap_med,Force_vent_med,Insolation_med,Rayonnement_med,niveau_vie_median_2021
31130,Cazaril-Tambourès,73.0,5.0,9.0,3.0,7.0,18.3,11.2,2.2,3522.5,13426.5,N/A - secret statistique
31131,Cazaunous,73.0,6.0,9.0,3.0,0.9,11.4,11.1,2.2,3373.0,13106.5,N/A - secret statistique
31132,Cazaux-Layrisse,77.2,5.0,9.0,2.0,5.45,17.9,9.9,1.6,3285.0,12622.0,N/A - secret statistique
31133,Cazeaux-de-Larboust,80.2,5.0,10.0,3.0,-0.2,5.2,4.5,2.3,3285.0,12622.0,N/A - secret statistique
31134,Cazeneuve-Montaut,79.8,5.0,10.0,3.0,6.1,18.3,11.3,1.8,3884.0,14003.0,N/A - secret statistique
31135,Cazères,52.4,4.0,8.0,1.0,7.35,19.4,11.3,1.9,3208.5,12950.0,20080
31136,Cépet,51.2,3.0,8.0,1.0,4.6,12.4,12.5,2.3,3593.0,13187.0,25370
31137,Cessales,54.65,4.0,8.0,1.0,8.6,18.45,11.7,3.0,3556.0,13450.0,24640
31138,Charlas,55.3,4.0,8.0,2.0,7.4,18.6,11.1,2.2,3373.0,13106.5,20210
31139,Chaum,77.2,5.0,9.0,2.0,0.9,11.4,9.9,1.6,3285.0,12622.0,21510
31140,Chein-Dessus,106.45,6.0,7.5,4.0,7.8,18.8,11.3,1.8,3884.0,14003.0,20480
31141,Ciadoux,55.3,4.0,8.0,2.0,7.4,18.6,11.3,1.8,3884.0,14003.0,19090
31142,Cier-de-Luchon,83.3,5.0,11.0,3.0,5.45,17.9,9.9,1.6,3285.0,12622.0,24930
31143,Cier-de-Rivière,63.5,4.0,9.0,2.0,6.55,18.25,11.1,2.2,3373.0,13106.5,22480
31144,Cierp-Gaud,77.2,5.0,9.0,2.0,0.9,11.4,9.9,1.6,3285.0,12622.0,20750
31145,Cintegabelle,52.1,3.0,7.0,2.0,9.9,19.4,11.9,3.3,3371.0,12963.0,22210
31146,Cirès,77.9,5.0,9.0,2.0,4.4,12.2,6.8,1.8,3285.0,12622.0,N/A - secret statistique
31147,Clarac,63.5,4.0,9.0,2.0,6.55,18.25,11.1,2.2,3373.0,13106.5,23500
31148,Clermont-le-Fort,52.1,3.0,7.0,2.0,9.5,19.4,12.1,2.9,3982.0,14329.5,34480
31149,Colomiers,49.65,3.0,8.0,1.0,8.4,18.1,11.3,3.6,3378.0,12998.5,23690
31150,Cornebarrieu,49.65,3.0,8.0,1.0,8.4,18.1,11.3,3.6,3378.0,12998.5,25600
31151,Corronsac,52.1,3.0,7.0,2.0,9.5,19.4,12.1,2.9,3982.0,14329.5,32380
31152,Coueilles,59.5,4.0,6.0,2.0,9.4,18.1,11.7,3.6,3884.0,14003.0,N/A - secret statistique
31153,Couladère,52.4,4.0,8.0,1.0,7.35,19.4,11.3,1.9,3208.5,12950.0,22250
31155,Couret,73.0,6.0,9.0,3.0,6.1,18.3,11.3,1.8,3884.0,14003.0,22190
31156,Cox,53.2,4.0,8.0,1.0,9.9,17.7,12.2,3.2,3536.5,12600.5,22860
31157,Cugnaux,46.9,3.0,7.0,1.0,8.8,17.9,11.5,3.3,3374.0,13251.0,23980
31158,Cuguron,73.0,5.0,9.0,3.0,6.55,18.25,11.1,2.2,3373.0,13106.5,22570
31159,Cuing,73.0,5.0,9.0,3.0,6.55,18.25,11.1,2.2,3373.0,13106.5,21010
31160,Daux,51.7,3.0,8.0,1.0,8.6,19.4,12.5,2.3,3593.0,13187.0,27000
31161,Deyme,52.1,3.0,7.0,2.0,9.5,19.4,12.1,2.9,3982.0,14329.5,28660
31162,Donneville,52.1,3.0,7.0,2.0,9.5,19.4,12.1,2.9,3982.0,14329.5,26760
31163,Drémil-Lafage,52.5,4.0,7.0,1.0,9.5,19.4,12.1,2.9,3982.0,14329.5,30000
31164,Drudas,53.2,4.0,8.0,1.0,8.4,18.9,11.6,3.0,3834.0,14927.0,28040
31165,Eaunes,44.85,3.0,8.0,1.0,8.2,18.8,11.5,3.3,3522.5,13496.0,24230
31166,Empeaux,55.6,3.0,8.0,2.0,7.95,19.45,12.2,3.2,3536.5,12600.5,23970
31167,Encausse-les-Thermes,73.0,6.0,9.0,3.0,6.1,18.3,11.3,1.8,3884.0,14003.0,20990
31168,Eoux,59.5,4.0,6.0,2.0,6.1,18.3,11.3,1.8,3884.0,14003.0,20590
